Stuttgarts Luft ist deutlich sauberer als 2015 Der FeinstaubAlarm hat seinen Dienst getan und darf abtreten So muss es nun weitergehen mit Vorfahrt fürs Fahrrad saubereAntriebe weitere Stärkung ÖPNV Damit wir nicht nur wg Corona gute Luft haben	OTHER	OTHER
Herr MdB Brandner hingegen hetzt rund um die Thematik wieder ungebremst mit Schaum vor dem Mund Selbst wenn Herr Chrupalla das alles ernst meint hat er seine Truppe offensichtlich nicht im Griff Siehe auch Parteitag jüngst in Weinböhla ua MdB Oehme AfD 	OTHER	OTHER
Wir müssen Rassismus ErkennenBenennenBekämpfen – gemeinsam geschlossen mit ganzer Kraft 	OTHER	OTHER
ESC2020 Glückwunsch Litauen Ohrwurm Ikone Performance Extraportion Queerness Alles was ESC-Klassiker braucht 🇱🇹	OTHER	OTHER
Klagesspiegel Umso wichtiger ist es deutlich zu machen warum es so ist	OTHER	OTHER
Jedes Jahr feiern wir den Tag der Kinderbetreuung Welche große Bedeutung und Relevanz betreuende und pflegende Kräfte haben zeigt sich gerade in der aktuellen Krise Danke an alle Fachkräfte in den Kindergärten  und Tagespflegeeltern tagderkinderbetreuung 	OTHER	OTHER
fhreet OlafScholz 	OTHER	OTHER
Zur Klarstellung Auch wenn der Kommentar einer Teilnehmerin auf der Strategiekonferenz nun völlig aus dem Kontext gerissen wird er war und ist inakzeptabel Ich bedauere dass ich ihn nicht sofort unmissverständlich zurückgewiesen habe	OTHER	OTHER
weichi684 bodoramelow Aha	OTHER	OTHER
Martin_Debes n_roettgen Danke für diese typisch sachlich-distanzierte Aussage eines ausgewogen berichtenden QualitätsjournalistenEinen Moment war ich jetzt in der Versuchung N Roettgen sympathisch zu finden Auch dieses innige Lob durch einen Ramelow-Fanboy reicht leider nichtThüringen	OTHER	OTHER
Für Frieden Gerechtigkeit und Klima - wie kann sich Europa in einer Welt der internationalen Konflikte Machtkämpfe und Handelskriege behaupten Freue mich auf die Diskussion heute Abend in Indelfingen 	OTHER	OTHER
Ramelow fällt jetzt ein man sollte in Gesetze schauen es brauche einen Innenminister für Wahlen Nervöse Angriffe nicht sehr staatstragend	OFFENSE	OTHER
Das CDU-Ergebnis der HamburgWahl schmerzt sehr - und es ist hausgemacht Wir brauchen endlich klare Positionen Geschlossenheit und eine maximale Abgrenzung nach Links- sowie Rechtsaußen Das Rumlavieren wie in Thueringen hat massiv geschadet HHWahl hhbue2020 Hamburg	OTHER	OTHER
TinaPannes Ach Tina	OTHER	OTHER
perzelmeier cducsubt Wo ist denn Ihrer Meinung nach der Mittelpunkt der Demokratie	OTHER	OTHER
Arnd_Diringer RAStadler WELTAMSONNTAG welt jetzt bin ich noch neugieriger	OTHER	OTHER
Ich habe die Nase voll vom Thema AfD und Rechtsextremismus Die Politik soll sich endlich um die wahren Probleme kümmernFalls Ihr in Eurem Umfeld Menschen habt die das sagen habe ich für Euch bei der NZZ eine kleine Argumentationshilfe zusammen geschrieben 	OTHER	OTHER
JulianeSteinm Meinem Kenntnisstand nach kein CDU-Mitglied dabei Gott sei Dank	OTHER	OTHER
UliGroetsch NowaboFM BayernSPD BayernSPD_LG spdde sehr richtigund Schausteller brauchen das auch	OTHER	OTHER
Danke für die gute Diskussion zum Thema wie wir nachhaltig aus der Krise kommen Nachhaltigkeit und Resilienz als politisches Prinzip Kai_Whittaker cducsubt 	OTHER	OTHER
Neben der Erhöhung des Steuerfreibetrages werbe ich für eine Mehrheit im Bundestag für die Verschiebung des Spitzensteuersatzes zur Entlastung der Mittelschicht 18 Millionen Arbeitnehmer müssen raus aus der Spitzenbesteuerung Finanzieren sollen es wirkliche Topverdiener 	OTHER	OTHER
JeanneRaffut Ein Hoch auf Eltern ohne \°/	OTHER	OTHER
Wir haben übrigens 2020 	OTHER	OTHER
nowak_dir davidbest95 markrudolph2701 Naja doch wenn die Sachlage sich evident zu dem ändert was ich vorher geschrieben habe und ich dies erst ex-post erfahre finde ich löschen durchaus angemessen Wenn es fragen dazu gibt werden diese selbstverständlich beantwortet	OTHER	OTHER
Bei den südhessischen Jusos auf ihrem Seminar in Wiesbaden Wir haben 2 interessante Stunden über das neue Sozialstaatskonzept der SPD diskutiert Recht auf Arbeit Sozialstaat als Partner der das Leben 	OTHER	OTHER
Ist Ärzt jetzt diskriminierungsfreiVielleicht wissen Chef*innen da Bescheid Diese Sprache lenkt die Aufmerksamkeit weit weg vom Thema  Absichtlich AnneWill	OTHER	OTHER
