Linke Intelligenzbestie Alder🤪 s Foto untenWenn die noAfD|ler rausgenommen werden bleibt doch nur die AfD drin oder😉 Will er das wirklich Sowas lernt man wohl im KrfgegenRechts-Kurs bei Kahane AAS IDZ  Co🥳 	OFFENSE	OTHER
Mir fehlen die Worte Linke zertreln die  Gräber der Opfer des Holocausts 	OTHER	OFFENSE
EricGrochowski Die Gesamtbelastung aus Abgaben und Steuern war für die Mittelschicht noch nie so hoch wie heute	OTHER	OFFENSE
Was sagt der Richter  wenn man ihn nun eine perverse S  nennt Was ja immer noch zulässig wäre im Fall Künast 	OTHER	OFFENSE
Für mich als Politiker ein mich dynamisierender EventSprach mit Teilnehmern der EvAkademie zu und der Kath Akademie in Berlin über Dilemmata der Führung in der Ära der Digitalisierung Wie schön im intellektuellen Disput mit Menschen außerhalb politischer Blase zu sein 	OTHER	OFFENSE
n_roettgen Die_Gruenen Und deshalb muss man sich erpressen lassen Handelsabkommen ohne Klimaschutz Zerstörung des IranDeal Verzicht auf Steuern von Großkonzernen So habe ich mir Europäische Souveränität immer vorgestellt 	OTHER	OTHER
Ohne Frauen ginge nichtsDavon haben jedoch andere etwasDenn die systematische Abwertung von Care-Arbeit schafft erst diese krasse Ungleichheit Frauen und Mädchen leisten 12 Mrd Arbeitsstunden TÄGLICH und unbeszahlt Ergo Sorgearbeit aufwerten+gerecht aufteilen Oxfam_DE 	OTHER	OTHER
👩‍💼💜👩‍⚕️Time to care – Studie von Oxfam ist ein Weckruf für mehr Geschlechtergerechtigkeit🇩🇪 hat mit über 50% die größte Rentenlücke zwischen Männern und Frauen in der OECDNichts ist ins Stein gemeißelt Ehegattensplitting für Neuehen abschaffen Kindergrundsicherung 	OTHER	OFFENSE
gudruncita roth_florian DGrot089 Tim_Richter GruenerKorbi buecherkeksi fxneumann SaschaMuller DancingAbby9 felix_schmitt Die Spannung ist unerträglich	OTHER	OFFENSE
BlackRock oder DeutscheBank - Hauptsache Italien Gabriel 	OTHER	OFFENSE
Nur die Linkspartei lobte den FDP-Außenminister -RichtigTragisch dass die Bellizisten von damals nichts hinzugelernt zu haben scheinen angesichts des immer fortwährenden Regime-Change-Getöses  den Rufen nach einem neuen Militäreinsatz in Libyen 	OTHER	OTHER
MartinBartelhei Naive Vorstellung dass Gabriel der jahrelang Parteichef der SPD war der für die SPD Vizekanzler war der jahrelang für die SPD im Bundestag saß nun ein Privatmensch sein soll Natürlich fällt es auf die SPD zurück wenn ein einstiger Spitzenpolitiker so ein Amt annimmt	OFFENSE	OTHER
Beste Bremer*innen Danke für die fette Solidarität heute bei der Demo wg der jüngsten Angriffe und Bedrohungen gegen unser LINKEN-Büro in der Neustadt das war bei der Nasskälte und überhaupt sehr beeindruckend Kein Fußbreit Bremen DieLinkeBremen dieLinke 	OTHER	OTHER
Wenn Ihr schon immer wissen wolltet wie wir ticken wobei das eher mein böser Blick ist - 	OTHER	OTHER
Koffer packen Freitag mit der DB_Bahn nach Erfurt Thüringen	OTHER	OFFENSE
fdprlp Och Leute verkauft doch die Menschen nicht für dumm Für einen Beschluss muss man mehr als 50 % haben Koalitionspartner dadurch immer Veto-Spieler Zudem ihr habt euch ja bei den Straßenbeiträgen gerade nicht durchgesetzt	OFFENSE	OTHER
Superreiche besitzen so viel Vermögen wie 46 Milliarden Menschen weltweit Oxfam hat eine Studie veröffentlicht die deutlich zeigt wie ungerecht das aktuelle Wirtschaftssystem ist Kein Mensch braucht soviel Vermögen Zeit zum Umverteilen an die Vielen Oxfam 	OTHER	OTHER
Einer der dümmsten Reden ever im Bundestag Nüchtern betrachtet ist der AfD Typ nicht mehr nüchtern bei dieser Redenoafd nonazis 	OFFENSE	OFFENSE
Erdogans Schläger bedroht in Berlin einen Demonstranten und die daneben stehende Polizei schreitet nicht ein 	OFFENSE	OTHER
Lobbyismus pur Gabriel hat Banken einmal Erpressung von Staaten vorgeworfen jetzt nimmt er hochbezahlten Aufsichtsratsposten bei DeutscheBank an So wird Vertrauen in d Demokratie bald endgültig verspielt Drehtür zwischen Politik  Lobby schließen 	OTHER	OTHER
Die Kriminalisierung von Cannabis macht nun wirklich keinen SinnEin Großteil aller Drogenverfahren bezieht sich auf Cannabis das nachgewiesen unschädlicher ist als Alkohol Das ist eine Steuermittelverschwendung par excellenceLegalisieren und das Geld in Prävention stecken	OTHER	OTHER
Wer regiert seit 15 Jahren ununterbrochen cdu/csuWer regiert seit über 70 Jahren AltparteienWer hatte Bimbes Schwarzgeld  Co in KoffernWer ist also verantwortlich für die angebliche Krise 	OTHER	OFFENSE
Ausreisende bekommen Förderung Anm Tausende Euro kommen da für Familien zusammen vom Bund – einige kommen danach wieder😡Der Rechtsstaat macht sich lächerlich 	OFFENSE	OTHER
Sigmar Gabriel wird Aufsichtsrat bei der Deutschen Bank - nachdem er das sinkende Schiff SPD längst verlassen hat Ein weiteres Beispiel für den roten Filz in Deutschland der nur noch der Selbstbereicherung dient 	OFFENSE	OTHER
In Schweden muss der Wolf den Hund zweifelsfrei bedrohen das haben die Bissspuren vom Wolf an den den Jagdhunden in Brandenburg zweifelsfrei bewiesen und es muss ein Warnschuss abgegeben werden Das ist ebenfalls passiert	OTHER	OTHER
Egal ob Dorfkinder oder Stadtkinder JEDER hat weltbeste Bildung schnelles Internet  beste Zukunftsperspektiven verdient Mit ihrer irrsinnigen Kagne treiben Sie die Spaltung von Stadt-  Landbevölkerung nur weiter voran JuliaKloeckner Das lehnen wir entschieden ab	OTHER	OFFENSE
RrenateRose Ich bitte Sie Mittlerweile sind viele Männer doch feministischer unterwegs als so manche Frau Und ein Keaser bietet einer völlig unqualifizierten 23-Jährigen einen Aufsichtsposten bei Siemens Energy an damit nicht nur alte weiße Männer das Ganze leiten 	OFFENSE	OFFENSE
Ex-Banker von US-Investment-Bank MerrillLynch packt über Steuerraub CumEx ausHeute 2145 Uhr  bei  ARDPanorama AnjaReschke1 OliverSchroem CSalewski oder in der Mediathek 👉	OTHER	OTHER
Biohoefe Die_Gruenen Das ist ja süß mit der Klammer🤗 Ich bin doch die Mutter  Der Biohoefe 😎	OTHER	OFFENSE
Frost Minusgrade Wenn man Bullen und den autoritären Staat im Winter angreift können linke Gewalttäter eben nicht erwarten dass die Polizei auch noch Heizdecken verteilt le2501 Leipzig DankePolizei 	OFFENSE	OFFENSE
Bislang mochte ich Dich Wie Du jetzt versuchst meinen guten Ruf hier auf Twitter mit EINEM Screenshot zu diskreditieren ist schon allererste Sahne 	OFFENSE	OTHER
th9tz Hallaschka_HH timstraussspd Nazivergleiche gehen fast immer schief Der Tweet ist wohl eskaboliert	OTHER	OTHER
Volker_Beck Thomaschke mq86mq Dadurch dass eine Partei in einem WK den sie sonst - vielleicht - direkt gezogen hätte keinen WK-Kandidaten aufstellt	OTHER	OFFENSE
Mindestabstände sind keine Bannmeilen Das Unweltministerium ist in der Pflicht die Vereinbarungen umzusetzen und die Blockade zu beenden - Schulze attackiert Altmaier im Streit um Abstandsregeln für Windräder Windkraft  	OTHER	OTHER
Gerd Müller ziemlich smart maischberger	OTHER	OFFENSE
Duzoe BerlinReporter klee_lina Stimmt Aber das ist ja europäisches Recht also nicht allein in deutscher Hand	OTHER	OTHER
Schmanle Bitte Er ist weder über seine eigenen Füße gefallen noch haben unbeteiligte Dritte ihm versehentlich ein Bein gestellt Was geht in Ihrem Kopf vor dass sie sich gegen statt vor einen Beamten stellen der den Rechtsstaat schützt	OFFENSE	OFFENSE
Eine steinerne Lenin-Büste für den Golmer Kreisverkehr Auf so eine absurde RoteHilfe-Idee können sicher nur linke Revanchisten um sakraem und Norbert_MdB in LH_Potsdam kommen PNN_de LegostattLenin 	OFFENSE	OFFENSE
Feminines Rot-schwarz-grün in Brandenburg_LT GrueneLTBB CDUFraktionBRB spdfraktionbb kenia 	OTHER	OFFENSE
Skorwider_Heinz violine1909 Es gibt Freibeträge die nicht versteuert werden müssen Darüber bezahlt man für die ersten Euros einen Steuersatz von 14% der für die weiteren Euros ansteigt bis 42% Das nennt sich Progression So ergibt sich der individuelle Durchschnittssteuersatz 	OTHER	OTHER
1/2 Angesichts der nahezu täglichen Angriffe auf Wahlkreisbüros AfD-Mitglieder und Mandatsträger ist es geradezu scheinheilig nun einen Krisengipfel einzuberufen um die Demokratie zu schützen ohne Vertreter unserer Fraktion teilhaben zu lassen	OFFENSE	OFFENSE
TTremonia Es gibt da einen bedeutenden Unterschied Die AfD hatte keine Glaskugel um zu erkennen dass er später ein Rechtsterrorist wird Eine Politikerin der Linken hat mit Christian Klar jedoch einen landesweit bekannten Linksterroristen angestellt	OTHER	OTHER
pmaurus rasibo DasErste ZDF Mönch Missionar ChristUnd dann so einfältig und intolerant	OFFENSE	OFFENSE
rasibo DasErste ZDF Toll So genial einfältig👍	OFFENSE	OFFENSE
In Berlin beraten Altparteien und Lobbyisten über den Kohleausstieg derweil bangen zehntausende Menschen in der Lausitz um ihren Job Auslöser die allgemeine Klimahysterie Früher oder später wird die AfDimBundestag dieses Klima-Unsinn-Paket kippen 	OFFENSE	OTHER
Die Kritik von Habeck an Trump ist völlig berechtigt und legitim Es ist traurig und auch entlarvend dass die konservative Kavallerie nun wieder sturmläuft Was an diesem narzisstischen Geschwafel von Trump in Davos2020 lohnt es sich denn bitte in Schutz zu nehmen	OFFENSE	OFFENSE
Martin Hess sieht in der hohen Anzahl von Hinweisen die sich als nicht sachdienlich erwiesen haben seine Befürchtungen bewahrheitet daß das Telefon hohes Mißbrauchspotential für Denunzianten böte die unbescholtene Bürger ins Visier der 1/3	OTHER	OTHER
Und er hat verdammt rechtIsrael YadVashem Steinmeier 	OTHER	OFFENSE
